Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,142600.0,146600.0,142400.0,146200.0,142317.046875,321125
2015-01-05,145200.0,150000.0,144200.0,149800.0,145821.4375,562860
2015-01-06,148200.0,150800.0,147000.0,148600.0,144653.296875,461575
2015-01-07,149800.0,149800.0,146000.0,146400.0,142511.75,259935
2015-01-08,145800.0,149000.0,145800.0,148800.0,144847.984375,281960
2015-01-09,151800.0,151800.0,148400.0,150400.0,146405.5,369935
2015-01-12,149200.0,152000.0,149200.0,150000.0,146016.140625,183665
2015-01-13,150400.0,151000.0,147600.0,148000.0,144069.25,244640
2015-01-14,147000.0,149000.0,146400.0,147800.0,143874.546875,319250
2015-01-15,149600.0,155600.0,148200.0,155400.0,151272.703125,936180
2015-01-16,155800.0,156000.0,151400.0,155400.0,151272.703125,583295
2015-01-19,156000.0,156800.0,154600.0,155200.0,151078.015625,456525
2015-01-20,156000.0,159400.0,156000.0,158000.0,153803.640625,506715
2015-01-21,156400.0,157800.0,153600.0,156000.0,151856.765625,357820
2015-01-22,156600.0,157800.0,152400.0,153000.0,148936.4375,417195
2015-01-23,155000.0,156000.0,152000.0,156000.0,151856.765625,496485
2015-01-26,155000.0,155800.0,153600.0,154200.0,150104.5625,345015
2015-01-27,154800.0,155000.0,152200.0,152800.0,148741.75,422445
2015-01-28,152000.0,156000.0,152000.0,155400.0,151272.703125,616100
2015-01-29,152000.0,152400.0,146200.0,147200.0,143290.484375,1392375
2015-01-30,145000.0,146000.0,142200.0,143200.0,139396.71875,1500305
2015-02-02,143200.0,144600.0,141400.0,142200.0,138423.28125,564970
2015-02-03,142200.0,143400.0,141000.0,142400.0,138617.96875,608205
2015-02-04,143200.0,145400.0,143000.0,145000.0,141148.921875,656765
2015-02-05,144400.0,145000.0,142000.0,142400.0,138617.96875,389445
2015-02-06,142200.0,144200.0,141600.0,143000.0,139202.046875,380000
2015-02-09,143000.0,143000.0,136000.0,136200.0,132582.625,1071155
2015-02-10,134000.0,135600.0,127800.0,129600.0,126157.9296875,1851345
2015-02-11,132000.0,135400.0,130600.0,134600.0,131025.140625,964140
2015-02-12,136000.0,136000.0,131200.0,136000.0,132387.9375,574635
2015-02-13,135000.0,138400.0,133200.0,133600.0,130051.6875,499090
2015-02-16,133200.0,135200.0,133000.0,133800.0,130246.3984375,277665
2015-02-17,133200.0,135000.0,133200.0,134200.0,130635.7421875,176120
2015-02-23,133600.0,134400.0,126400.0,127800.0,124405.7421875,1458905
2015-02-24,127400.0,129400.0,127000.0,127400.0,124016.359375,714755
2015-02-25,127800.0,128800.0,126600.0,128200.0,124795.1171875,733120
2015-02-26,127200.0,128200.0,125200.0,125200.0,121874.796875,873715
2015-02-27,124600.0,133600.0,124600.0,132200.0,128688.8828125,1331750
2015-03-02,132400.0,133400.0,128200.0,129200.0,125768.546875,752240
2015-03-03,130600.0,131800.0,129200.0,130000.0,126547.3046875,520120
2015-03-04,129800.0,136400.0,127800.0,136000.0,132387.9375,1342450
2015-03-05,135800.0,140200.0,135000.0,137800.0,134140.140625,840965
2015-03-06,138400.0,138800.0,134400.0,136000.0,132387.9375,461960
2015-03-09,133800.0,134800.0,130400.0,130600.0,127131.3828125,640980
2015-03-10,130400.0,131800.0,128200.0,128200.0,124795.1171875,557990
2015-03-11,127800.0,129200.0,125800.0,125800.0,122458.859375,870575
2015-03-12,126600.0,129000.0,125400.0,125400.0,122069.4765625,922700
2015-03-13,129000.0,130600.0,128000.0,130000.0,126547.3046875,786380
2015-03-16,130600.0,130600.0,127400.0,128600.0,125184.4921875,628615
2015-03-17,129800.0,132600.0,128800.0,132000.0,128494.1875,608620
2015-03-18,131600.0,133200.0,130000.0,130800.0,127326.0625,554585
2015-03-19,132200.0,132400.0,128200.0,128200.0,124795.1171875,601960
2015-03-20,128600.0,130800.0,128600.0,130800.0,127326.0625,452620
2015-03-23,132000.0,136200.0,131400.0,136000.0,132387.9375,830885
2015-03-24,137000.0,137000.0,133400.0,135000.0,131414.5,440255
2015-03-25,136800.0,137000.0,133800.0,134000.0,130441.0859375,373600
2015-03-26,134000.0,135000.0,132000.0,132200.0,128688.8828125,475305
2015-03-27,134200.0,134600.0,132400.0,134400.0,130830.4375,507190
2015-03-30,137000.0,138400.0,134600.0,136200.0,132582.625,444640
2015-03-31,138000.0,138200.0,133800.0,134200.0,130635.7421875,453590
2015-04-01,134400.0,135000.0,132200.0,133400.0,129857.0078125,375975
2015-04-02,132800.0,133800.0,124800.0,128400.0,124989.796875,2405490
2015-04-03,127600.0,129800.0,126400.0,129400.0,125963.25,692920
2015-04-06,129600.0,130600.0,126800.0,127000.0,123626.9921875,456250
2015-04-07,128200.0,129000.0,127400.0,127800.0,124405.7421875,342595
2015-04-08,128600.0,129400.0,128000.0,129000.0,125573.8671875,606450
2015-04-09,129000.0,133800.0,128600.0,130600.0,127131.3828125,881670
2015-04-10,131000.0,132400.0,129400.0,130000.0,126547.3046875,599965
2015-04-13,129200.0,131000.0,128600.0,130400.0,126936.6796875,473740
2015-04-14,130400.0,133600.0,130200.0,133400.0,129857.0078125,631380
2015-04-15,133800.0,134400.0,133000.0,134200.0,130635.7421875,426385
2015-04-16,134800.0,135000.0,132400.0,134600.0,131025.140625,483985
2015-04-17,135000.0,135400.0,133400.0,133800.0,130246.3984375,503265
2015-04-20,132200.0,134400.0,132200.0,133200.0,129662.3203125,437785
2015-04-21,133800.0,134000.0,130600.0,133800.0,130246.3984375,591985
2015-04-22,135800.0,135800.0,133800.0,134800.0,131219.828125,712755
2015-04-23,136000.0,137000.0,133400.0,136400.0,132777.328125,630370
2015-04-24,135600.0,137000.0,131800.0,133400.0,129857.0078125,545635
2015-04-27,134600.0,137600.0,133400.0,136800.0,133166.703125,1020695
2015-04-28,138000.0,138000.0,136400.0,137200.0,133556.09375,668850
2015-04-29,136600.0,137800.0,134800.0,135800.0,132193.265625,817835
2015-04-30,134000.0,136400.0,129400.0,130000.0,126547.3046875,1598090
2015-05-04,128600.0,129800.0,120600.0,120600.0,117396.96875,1957505
2015-05-06,120200.0,123200.0,119200.0,122600.0,119343.84375,1484705
2015-05-07,122600.0,123400.0,120800.0,122200.0,118954.4765625,688875
2015-05-08,121600.0,124000.0,121600.0,121800.0,118565.09375,443185
2015-05-11,122000.0,122800.0,120600.0,121200.0,117981.0234375,424635
2015-05-12,120000.0,122200.0,119600.0,121000.0,117786.34375,447655
2015-05-13,120800.0,121200.0,120000.0,120800.0,117591.6484375,404655
2015-05-14,120200.0,122000.0,120200.0,121400.0,118175.71875,307855
2015-05-15,122000.0,122400.0,121200.0,122000.0,118759.7734375,311575
2015-05-18,122800.0,124200.0,122400.0,123600.0,120317.28125,519145
2015-05-19,124600.0,125600.0,123400.0,125200.0,121874.796875,517260
2015-05-20,126800.0,126800.0,123000.0,123200.0,119927.90625,335115
2015-05-21,121600.0,123000.0,119000.0,121400.0,118175.71875,808320
2015-05-22,121400.0,125400.0,121400.0,125400.0,122069.4765625,404110
2015-05-26,127000.0,127200.0,123400.0,124200.0,120901.3515625,363340
2015-05-27,123600.0,123600.0,120200.0,121600.0,118370.40625,598050
2015-05-28,122600.0,123400.0,121000.0,121000.0,117786.34375,378195
2015-05-29,120800.0,125800.0,120800.0,121800.0,118565.09375,783030
2015-06-01,122200.0,124200.0,121800.0,123400.0,120122.6015625,402590
2015-06-02,124400.0,124600.0,121600.0,122200.0,118954.4765625,355535
2015-06-03,124000.0,124000.0,120200.0,120200.0,117007.59375,329900
2015-06-04,120400.0,121000.0,116000.0,116000.0,112919.140625,878690
2015-06-05,113800.0,116600.0,113000.0,113000.0,109998.8203125,843890
2015-06-08,114200.0,118800.0,113600.0,117400.0,114281.953125,582700
2015-06-09,118000.0,119000.0,115400.0,118000.0,114866.015625,630925
2015-06-10,119800.0,119800.0,113600.0,113600.0,110582.875,447735
2015-06-11,115000.0,117800.0,113200.0,113200.0,110193.5,1153350
2015-06-12,114800.0,120600.0,114600.0,120200.0,117007.59375,1236155
2015-06-15,121400.0,125600.0,121400.0,125400.0,122069.4765625,1653685
2015-06-16,125600.0,126800.0,123200.0,125400.0,122069.4765625,785550
2015-06-17,124200.0,127400.0,124000.0,126000.0,122653.546875,557845
2015-06-18,127600.0,127800.0,124400.0,124800.0,121485.4140625,366810
2015-06-19,125000.0,127000.0,123000.0,126800.0,123432.2890625,348910
2015-06-22,127600.0,128400.0,125000.0,126200.0,122848.234375,212155
2015-06-23,127000.0,128000.0,125800.0,128000.0,124600.421875,231035
2015-06-24,131400.0,131600.0,128800.0,129800.0,126352.625,471700
2015-06-25,130400.0,131200.0,128200.0,130600.0,127131.3828125,509600
