Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,236000.0,240000.0,234500.0,236000.0,236000.0,213578
2020-01-03,237500.0,242000.0,236500.0,237000.0,237000.0,273831
2020-01-06,234000.0,234500.0,230000.0,231000.0,231000.0,217886
2020-01-07,231500.0,234500.0,231000.0,232000.0,232000.0,138750
2020-01-08,229000.0,229500.0,226500.0,228000.0,228000.0,340244
2020-01-09,232000.0,234000.0,231000.0,234000.0,234000.0,337466
2020-01-10,234500.0,238500.0,234500.0,237500.0,237500.0,248358
2020-01-13,236500.0,239000.0,234000.0,238500.0,238500.0,206237
2020-01-14,240000.0,242500.0,240000.0,242000.0,242000.0,253387
2020-01-15,242000.0,243500.0,238500.0,242000.0,242000.0,205004
2020-01-16,241000.0,242000.0,237000.0,241500.0,241500.0,244731
2020-01-17,241000.0,242000.0,239000.0,241500.0,241500.0,202782
2020-01-20,243000.0,249000.0,243000.0,247000.0,247000.0,371516
2020-01-21,247500.0,247500.0,243000.0,244000.0,244000.0,188964
2020-01-22,243500.0,243500.0,240000.0,241500.0,241500.0,204013
2020-01-23,240500.0,241500.0,238500.0,240500.0,240500.0,249642
2020-01-28,232000.0,233000.0,223500.0,226000.0,226000.0,583981
2020-01-29,228000.0,228500.0,225000.0,226500.0,226500.0,203199
2020-01-30,226000.0,227000.0,223500.0,224500.0,224500.0,253901
2020-01-31,224500.0,226000.0,220500.0,221000.0,221000.0,359322
2020-02-03,216000.0,216500.0,211000.0,214500.0,214500.0,427513
2020-02-04,214500.0,218500.0,213000.0,214000.0,214000.0,311725
2020-02-05,216000.0,217000.0,213500.0,214500.0,214500.0,297540
2020-02-06,218000.0,225500.0,217500.0,224000.0,224000.0,363840
2020-02-07,222500.0,224000.0,220000.0,223000.0,223000.0,285403
2020-02-10,219000.0,221000.0,216000.0,220500.0,220500.0,289609
2020-02-11,219500.0,223000.0,218500.0,222000.0,222000.0,212646
2020-02-12,221500.0,223500.0,220000.0,222000.0,222000.0,198757
2020-02-13,222500.0,225000.0,220500.0,221000.0,221000.0,379379
2020-02-14,219000.0,220000.0,217500.0,219500.0,219500.0,217419
2020-02-17,218500.0,220000.0,216500.0,218500.0,218500.0,281494
2020-02-18,218500.0,219000.0,216500.0,217500.0,217500.0,181856
2020-02-19,219000.0,220000.0,216000.0,216500.0,216500.0,190216
2020-02-20,217000.0,218500.0,214000.0,215500.0,215500.0,203605
2020-02-21,213500.0,214000.0,211000.0,211500.0,211500.0,217235
2020-02-24,207000.0,208000.0,202000.0,203500.0,203500.0,337423
2020-02-25,201000.0,203500.0,201000.0,202000.0,202000.0,306873
2020-02-26,200000.0,201500.0,198500.0,200000.0,200000.0,339857
2020-02-27,199000.0,202500.0,199000.0,199000.0,199000.0,305381
2020-02-28,195000.0,197000.0,193000.0,195500.0,195500.0,538272
2020-03-02,196500.0,197000.0,191000.0,191500.0,191500.0,437217
2020-03-03,195000.0,196500.0,192000.0,192000.0,192000.0,369345
2020-03-04,191000.0,197000.0,190500.0,194000.0,194000.0,363057
2020-03-05,196500.0,197500.0,194000.0,197000.0,197000.0,421898
2020-03-06,193000.0,194000.0,192000.0,192000.0,192000.0,299607
2020-03-09,192000.0,192000.0,192000.0,192000.0,192000.0,0
2020-03-10,178000.0,181500.0,176000.0,180500.0,180500.0,497558
2020-03-11,180500.0,186000.0,178000.0,179500.0,179500.0,483620
2020-03-12,179500.0,179500.0,179500.0,179500.0,179500.0,0
2020-03-13,164500.0,174500.0,162000.0,171000.0,171000.0,784135
2020-03-16,172500.0,176500.0,162000.0,162000.0,162000.0,506250
2020-03-17,152500.0,163500.0,152500.0,155500.0,155500.0,547216
2020-03-18,156500.0,159500.0,147500.0,147500.0,147500.0,559707
2020-03-19,149500.0,152500.0,138500.0,139500.0,139500.0,645668
2020-03-20,140500.0,145500.0,138500.0,144500.0,144500.0,636918
