Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,179500.0,180500.0,177000.0,180000.0,168656.484375,231092
2015-01-05,179000.0,179500.0,173500.0,174500.0,163503.09375,318170
2015-01-06,170500.0,171000.0,163500.0,166000.0,155538.765625,567304
2015-01-07,164000.0,167500.0,163000.0,164500.0,154133.28125,335124
2015-01-08,167500.0,169500.0,166500.0,168000.0,157412.734375,274598
2015-01-09,173500.0,179500.0,172000.0,178500.0,167251.015625,429244
2015-01-12,178500.0,182000.0,177000.0,180500.0,169124.984375,202770
2015-01-13,178000.0,180500.0,174500.0,180000.0,168656.484375,212888
2015-01-14,180500.0,181500.0,176000.0,177500.0,166314.03125,160434
2015-01-15,179500.0,180000.0,176500.0,178500.0,167251.015625,126385
2015-01-16,177000.0,177500.0,173500.0,175000.0,163971.59375,166914
2015-01-19,178000.0,182500.0,178000.0,180000.0,168656.484375,160144
2015-01-20,181000.0,185000.0,180000.0,183000.0,171467.421875,235374
2015-01-21,182000.0,186500.0,182000.0,184500.0,172872.890625,200089
2015-01-22,186500.0,193000.0,186000.0,193000.0,180837.25,350725
2015-01-23,196000.0,199500.0,193000.0,195000.0,182711.203125,452331
2015-01-26,194500.0,194500.0,186500.0,187000.0,175215.359375,429528
2015-01-27,188500.0,199000.0,185500.0,199000.0,186459.125,522631
2015-01-28,199500.0,202000.0,196500.0,199000.0,186459.125,290261
2015-01-29,195500.0,201000.0,192000.0,199000.0,186459.125,318412
2015-01-30,202000.0,202000.0,198000.0,198500.0,185990.640625,252912
2015-02-02,202500.0,208500.0,201500.0,205500.0,192549.484375,336294
2015-02-03,209000.0,211000.0,206000.0,208000.0,194891.953125,305131
2015-02-04,214500.0,217000.0,209500.0,213500.0,200045.328125,512438
2015-02-05,211000.0,211000.0,202000.0,202000.0,189270.0625,296204
2015-02-06,206500.0,209500.0,204000.0,209500.0,196297.421875,243525
2015-02-09,213000.0,216500.0,211000.0,215500.0,201919.296875,311884
2015-02-10,213000.0,223000.0,213000.0,217000.0,203324.765625,367022
2015-02-11,217000.0,220000.0,212000.0,214500.0,200982.3125,258649
2015-02-12,213500.0,214500.0,208500.0,211000.0,197702.890625,207556
2015-02-13,216000.0,220000.0,215000.0,219500.0,205667.21875,277709
2015-02-16,222000.0,226000.0,215500.0,216000.0,202387.78125,269835
