Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,233500.0,240000.0,232500.0,239500.0,229925.390625,137678
2015-01-05,237000.0,239500.0,232000.0,238000.0,228485.359375,167481
2015-01-06,236000.0,236000.0,226500.0,229000.0,219845.15625,358672
2015-01-07,229000.0,231000.0,226000.0,230500.0,221285.171875,200603
2015-01-08,230500.0,232500.0,229000.0,230500.0,221285.171875,190750
2015-01-09,233000.0,238000.0,231000.0,238000.0,228485.359375,313468
2015-01-12,237000.0,239000.0,234000.0,238000.0,228485.359375,250696
2015-01-13,255500.0,271500.0,254000.0,265500.0,254885.96875,1755713
2015-01-14,265500.0,267000.0,251500.0,255000.0,244805.734375,834722
2015-01-15,259000.0,261500.0,253000.0,259000.0,248645.84375,422930
2015-01-16,251500.0,258500.0,250000.0,254000.0,243845.71875,278196
2015-01-19,253000.0,255000.0,249500.0,251500.0,241445.65625,175842
2015-01-20,250000.0,252000.0,247000.0,250000.0,240005.625,160436
2015-01-21,251500.0,256500.0,249000.0,252000.0,241925.671875,444653
2015-01-22,247000.0,255500.0,246500.0,250500.0,240485.625,276798
2015-01-23,253500.0,257500.0,248500.0,255000.0,244805.734375,469112
2015-01-26,253000.0,258500.0,252000.0,255000.0,244805.734375,301366
2015-01-27,258500.0,262500.0,256000.0,258500.0,248165.8125,284750
2015-01-28,255000.0,257500.0,253000.0,254000.0,243845.71875,281405
2015-01-29,252500.0,256000.0,249000.0,250000.0,240005.625,296269
2015-01-30,249000.0,252500.0,246500.0,248000.0,238085.578125,276129
2015-02-02,248500.0,252500.0,247500.0,249500.0,239525.609375,168396
2015-02-03,250000.0,251500.0,243000.0,246000.0,236165.546875,241541
2015-02-04,246500.0,249000.0,245000.0,248500.0,238565.578125,133234
2015-02-05,248500.0,257000.0,248500.0,253500.0,243365.6875,247314
2015-02-06,259500.0,260000.0,240000.0,242500.0,232805.453125,779016
2015-02-09,243000.0,243000.0,236000.0,236500.0,227045.3125,253824
2015-02-10,236500.0,239500.0,235500.0,236000.0,226565.3125,213813
2015-02-11,235500.0,237000.0,234500.0,236500.0,227045.3125,155709
2015-02-12,239500.0,243000.0,237000.0,241500.0,231845.421875,226668
2015-02-13,241500.0,243500.0,238500.0,241000.0,231365.4375,163987
2015-02-16,240000.0,241000.0,236500.0,240000.0,230405.40625,115698
2015-02-17,240000.0,243500.0,239000.0,243000.0,233285.46875,109885
2015-02-23,246500.0,248500.0,243500.0,248500.0,238565.578125,199088
2015-02-24,251500.0,252000.0,247500.0,249500.0,239525.609375,150246
2015-02-25,250000.0,252500.0,248000.0,251000.0,240965.65625,125196
2015-02-26,251000.0,251000.0,248000.0,249500.0,239525.609375,153726
2015-02-27,251000.0,252000.0,247000.0,249500.0,239525.609375,283435
2015-03-02,251000.0,251500.0,247000.0,247500.0,237605.5625,176837
2015-03-03,248000.0,259500.0,248000.0,256000.0,245765.765625,293418
2015-03-04,256500.0,261500.0,253000.0,254500.0,244325.71875,210231
2015-03-05,252500.0,257000.0,251500.0,254500.0,244325.71875,107739
2015-03-06,258000.0,258000.0,255500.0,257000.0,246725.78125,130488
2015-03-09,255000.0,260500.0,254500.0,257000.0,246725.78125,165233
2015-03-10,256500.0,258500.0,255000.0,256500.0,246245.765625,140506
2015-03-11,255000.0,259500.0,251500.0,258000.0,247685.8125,245549
2015-03-12,253000.0,258500.0,250000.0,251000.0,240965.65625,276044
2015-03-13,252500.0,253000.0,249000.0,250500.0,240485.625,130841
2015-03-16,249000.0,254000.0,246000.0,252000.0,241925.671875,137079
2015-03-17,253500.0,261500.0,252500.0,258500.0,248165.8125,221810
