Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,542000.0,545000.0,539000.0,541000.0,541000.0,40246
2020-01-03,547000.0,568000.0,542000.0,565000.0,565000.0,112404
2020-01-06,562000.0,587000.0,562000.0,579000.0,579000.0,107006
2020-01-07,583000.0,596000.0,574000.0,594000.0,594000.0,84378
2020-01-08,587000.0,604000.0,584000.0,604000.0,604000.0,109267
2020-01-09,597000.0,608000.0,596000.0,608000.0,608000.0,71171
2020-01-10,605000.0,618000.0,605000.0,608000.0,608000.0,53031
2020-01-13,605000.0,615000.0,604000.0,614000.0,614000.0,66084
2020-01-14,614000.0,615000.0,605000.0,610000.0,610000.0,64120
2020-01-15,608000.0,622000.0,608000.0,619000.0,619000.0,56839
2020-01-16,624000.0,637000.0,617000.0,632000.0,632000.0,79907
2020-01-17,633000.0,641000.0,625000.0,631000.0,631000.0,49319
2020-01-20,632000.0,641000.0,627000.0,630000.0,630000.0,40779
2020-01-21,630000.0,641000.0,627000.0,632000.0,632000.0,59896
2020-01-22,638000.0,644000.0,632000.0,643000.0,643000.0,56758
2020-01-23,640000.0,646000.0,638000.0,646000.0,646000.0,51057
2020-01-28,637000.0,652000.0,636000.0,644000.0,644000.0,90471
2020-01-29,644000.0,658000.0,641000.0,649000.0,649000.0,80218
2020-01-30,651000.0,665000.0,651000.0,655000.0,655000.0,77424
2020-01-31,659000.0,659000.0,632000.0,636000.0,636000.0,107016
2020-02-03,636000.0,648000.0,633000.0,640000.0,640000.0,94982
2020-02-04,646000.0,660000.0,638000.0,656000.0,656000.0,71409
2020-02-05,652000.0,664000.0,651000.0,657000.0,657000.0,69095
2020-02-06,663000.0,675000.0,657000.0,670000.0,670000.0,79693
2020-02-07,663000.0,677000.0,662000.0,672000.0,672000.0,58755
2020-02-10,661000.0,669000.0,638000.0,648000.0,648000.0,120937
2020-02-11,648000.0,656000.0,631000.0,644000.0,644000.0,120028
2020-02-12,636000.0,660000.0,635000.0,650000.0,650000.0,172621
2020-02-13,647000.0,654000.0,624000.0,629000.0,629000.0,156229
2020-02-14,635000.0,661000.0,630000.0,657000.0,657000.0,157977
2020-02-17,660000.0,666000.0,651000.0,658000.0,658000.0,44676
2020-02-18,652000.0,658000.0,646000.0,655000.0,655000.0,52270
2020-02-19,667000.0,689000.0,660000.0,687000.0,687000.0,140128
2020-02-20,700000.0,711000.0,674000.0,676000.0,676000.0,110032
2020-02-21,661000.0,689000.0,661000.0,669000.0,669000.0,79837
2020-02-24,670000.0,687000.0,661000.0,663000.0,663000.0,96037
2020-02-25,667000.0,669000.0,648000.0,669000.0,669000.0,92439
2020-02-26,665000.0,673000.0,657000.0,672000.0,672000.0,89770
2020-02-27,668000.0,675000.0,649000.0,654000.0,654000.0,68808
2020-02-28,654000.0,659000.0,641000.0,649000.0,649000.0,122145
2020-03-02,657000.0,665000.0,639000.0,661000.0,661000.0,75909
2020-03-03,675000.0,686000.0,669000.0,679000.0,679000.0,111858
2020-03-04,698000.0,723000.0,692000.0,720000.0,720000.0,156369
2020-03-05,722000.0,725000.0,705000.0,711000.0,711000.0,115007
2020-03-06,703000.0,707000.0,694000.0,700000.0,700000.0,94325
2020-03-09,700000.0,700000.0,700000.0,700000.0,700000.0,0
2020-03-10,666000.0,689000.0,666000.0,676000.0,676000.0,117053
2020-03-11,671000.0,680000.0,654000.0,666000.0,666000.0,112122
2020-03-12,666000.0,666000.0,666000.0,666000.0,666000.0,0
2020-03-13,581000.0,661000.0,580000.0,641000.0,641000.0,229329
2020-03-16,636000.0,656000.0,593000.0,595000.0,595000.0,201806
