Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,33052.5,33433.3984375,32883.30078125,33137.19921875,33137.19921875,247726
2015-01-05,33010.19921875,33179.5,32714.0,32967.8984375,32967.8984375,199635
2015-01-06,32587.0,32756.30078125,32079.19921875,32375.400390625,32375.400390625,320408
2015-01-07,32248.400390625,32460.099609375,32079.19921875,32079.19921875,32079.19921875,200807
2015-01-08,32290.80078125,32840.8984375,32079.19921875,32248.400390625,32248.400390625,266026
2015-01-09,32714.0,32925.6015625,32248.400390625,32502.400390625,32502.400390625,319645
2015-01-12,32629.30078125,32925.6015625,32502.400390625,32587.0,32587.0,258820
2015-01-13,32756.30078125,34660.69921875,32587.0,33602.69921875,33602.69921875,1447890
2015-01-14,34025.8984375,34533.80078125,33814.30078125,34068.19921875,34068.19921875,666608
2015-01-15,34406.80078125,34957.0,34195.19921875,34830.0,34830.0,683457
2015-01-16,35083.8984375,35210.8984375,34195.19921875,34237.5,34237.5,420172
2015-01-19,35041.6015625,35422.5,34449.1015625,34449.1015625,34449.1015625,490245
2015-01-20,34449.1015625,34703.1015625,33772.0,34237.5,34237.5,404043
2015-01-21,34364.5,34576.1015625,33560.3984375,33814.30078125,33814.30078125,414389
2015-01-22,33645.0,33941.30078125,33137.19921875,33221.80078125,33221.80078125,343722
2015-01-23,33602.69921875,34195.19921875,33433.3984375,34195.19921875,34195.19921875,432813
2015-01-26,34237.5,34660.69921875,33729.69921875,33856.6015625,33856.6015625,361005
2015-01-27,33941.30078125,34152.8984375,33179.5,33433.3984375,33433.3984375,392165
2015-01-28,33179.5,33560.3984375,33094.8984375,33518.1015625,33518.1015625,264729
2015-01-29,33475.80078125,34322.19921875,33433.3984375,33941.30078125,33941.30078125,397507
2015-01-30,34491.3984375,35761.1015625,33899.0,34449.1015625,34449.1015625,1451481
2015-02-02,34618.3984375,35168.6015625,34152.8984375,35126.30078125,35126.30078125,468652
2015-02-03,35168.6015625,36395.8984375,34830.0,36311.19921875,36311.19921875,1215001
2015-02-04,36311.19921875,36819.1015625,35845.69921875,35888.0,35888.0,758782
2015-02-05,36184.30078125,36268.8984375,35549.5,35888.0,35888.0,462558
2015-02-06,40628.0,40881.8984375,38427.30078125,39866.19921875,39866.19921875,5750918
2015-02-09,39823.8984375,43421.1015625,39443.0,41728.30078125,41728.30078125,4795231
2015-02-10,42320.80078125,43759.69921875,40162.3984375,41305.1015625,41305.1015625,3294615
2015-02-11,42109.19921875,42828.6015625,41728.30078125,41982.19921875,41982.19921875,1974519
2015-02-12,42278.5,42997.8984375,40670.30078125,42744.0,42744.0,2094153
2015-02-13,43167.19921875,49092.1015625,43167.19921875,49092.1015625,49092.1015625,7431281
