Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,237000.0,237500.0,231500.0,232000.0,232000.0,186494
2020-01-03,235000.0,235500.0,228500.0,229000.0,229000.0,239332
2020-01-06,227000.0,230500.0,226000.0,230000.0,230000.0,151022
2020-01-07,230000.0,233500.0,229000.0,231500.0,231500.0,153608
2020-01-08,229000.0,231000.0,227000.0,229000.0,229000.0,262681
2020-01-09,230500.0,233500.0,230000.0,232500.0,232500.0,277858
2020-01-10,233000.0,249500.0,233000.0,249000.0,249000.0,819751
2020-01-13,250000.0,261000.0,249000.0,259000.0,259000.0,641733
2020-01-14,265000.0,274500.0,263000.0,265500.0,265500.0,761042
2020-01-15,268500.0,270000.0,264000.0,267500.0,267500.0,305110
2020-01-16,265500.0,269000.0,262000.0,268500.0,268500.0,328175
2020-01-17,270500.0,273500.0,268000.0,269500.0,269500.0,350550
2020-01-20,273500.0,278500.0,271000.0,275500.0,275500.0,433345
2020-01-21,276000.0,277500.0,273000.0,275500.0,275500.0,217679
2020-01-22,276500.0,287000.0,276500.0,286000.0,286000.0,382214
2020-01-23,286000.0,291500.0,282500.0,283500.0,283500.0,460938
2020-01-28,274500.0,285500.0,274000.0,285000.0,285000.0,463275
2020-01-29,289000.0,291000.0,282500.0,287000.0,287000.0,414935
2020-01-30,293000.0,296500.0,282000.0,287000.0,287000.0,638954
2020-01-31,290500.0,290500.0,275000.0,276000.0,276000.0,592428
2020-02-03,271500.0,284500.0,268000.0,284000.0,284000.0,558416
2020-02-04,293500.0,309000.0,293000.0,308000.0,308000.0,939164
2020-02-05,321000.0,321000.0,310000.0,314000.0,314000.0,784165
2020-02-06,307000.0,319500.0,304500.0,318500.0,318500.0,628991
2020-02-07,317000.0,322500.0,314000.0,317000.0,317000.0,650781
2020-02-10,314500.0,321500.0,312000.0,321500.0,321500.0,387188
2020-02-11,325000.0,351000.0,324000.0,343000.0,343000.0,874870
2020-02-12,341500.0,343500.0,337000.0,338000.0,338000.0,641943
2020-02-13,337500.0,342500.0,335000.0,336500.0,336500.0,689961
2020-02-14,337500.0,340000.0,334000.0,337000.0,337000.0,370649
2020-02-17,338000.0,339000.0,332500.0,338000.0,338000.0,298316
2020-02-18,336500.0,338000.0,331000.0,334000.0,334000.0,400006
2020-02-19,342500.0,343500.0,332000.0,334000.0,334000.0,472858
2020-02-20,332000.0,347000.0,330500.0,343500.0,343500.0,527965
2020-02-21,338500.0,348000.0,335000.0,336500.0,336500.0,536065
2020-02-24,326000.0,329500.0,318500.0,321000.0,321000.0,704622
2020-02-25,317500.0,322500.0,312500.0,321000.0,321000.0,842067
2020-02-26,312500.0,317500.0,308500.0,312000.0,312000.0,660683
2020-02-27,309000.0,313500.0,306000.0,309500.0,309500.0,599405
2020-02-28,301500.0,303000.0,292000.0,295000.0,295000.0,919096
2020-03-02,296500.0,307500.0,292500.0,304500.0,304500.0,611983
2020-03-03,316500.0,318500.0,307500.0,308000.0,308000.0,652467
2020-03-04,304000.0,318000.0,303000.0,315000.0,315000.0,491231
2020-03-05,322500.0,324500.0,316500.0,323500.0,323500.0,554299
2020-03-06,319500.0,323500.0,314500.0,316500.0,316500.0,422106
2020-03-09,316500.0,316500.0,316500.0,316500.0,316500.0,0
2020-03-10,289000.0,298000.0,286000.0,293500.0,293500.0,901344
2020-03-11,297500.0,301500.0,287000.0,289000.0,289000.0,592068
2020-03-12,289000.0,289000.0,289000.0,289000.0,289000.0,0
2020-03-13,260000.0,284500.0,258000.0,277500.0,277500.0,1076527
2020-03-16,280000.0,282500.0,253000.0,253000.0,253000.0,994249
2020-03-17,242000.0,257000.0,240500.0,246000.0,246000.0,990457
2020-03-18,246000.0,249000.0,221500.0,221500.0,221500.0,1105362
2020-03-19,227000.0,228000.0,180000.0,183000.0,183000.0,2233285
2020-03-20,197000.0,216500.0,194000.0,216500.0,216500.0,1818258
2020-03-23,202000.0,233500.0,200500.0,218500.0,218500.0,1576624
2020-03-24,231500.0,252500.0,224500.0,246500.0,246500.0,1668595
2020-03-25,267000.0,269500.0,249000.0,257500.0,257500.0,1368513
2020-03-26,258500.0,260500.0,246500.0,248000.0,248000.0,984405
2020-03-27,258500.0,260000.0,236500.0,248000.0,248000.0,975996
2020-03-30,239000.0,247000.0,235000.0,244500.0,244500.0,764977
2020-03-31,245500.0,248000.0,235500.0,240500.0,240500.0,1011083
2020-04-01,240000.0,244500.0,230000.0,231000.0,231000.0,794308
2020-04-02,231500.0,233500.0,222000.0,233000.0,233000.0,916444
2020-04-03,241000.0,245500.0,228000.0,231500.0,231500.0,1050266
2020-04-06,234500.0,240000.0,230500.0,240000.0,240000.0,723090
2020-04-07,246500.0,251000.0,240500.0,245000.0,245000.0,1116101
2020-04-08,245000.0,256000.0,242500.0,250000.0,250000.0,1069528
