,Data,open,high,low,close,adj_close,volume,close_ma5,volume_ma5,close_ma10,volume_ma10,close_ma20,volume_ma20,close_ma60,volume_ma60,close_ma120,volume_ma120,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio
1,2015-01-02,20780.0,20780.0,20240.0,20320.0,5.686606407165527,942200.0,,,,,,,,,,,0.0,0.022637795275590553,-0.003937007874015748,0.0,0.0,,,,,,,,,,
2,2015-01-05,20320.0,20340.0,20120.0,20220.0,5.658620834350586,816600.0,,,,,,,,,,,0.004945598417408506,0.005934718100890208,-0.004945598417408506,-0.004921259842519685,-0.1333050307790278,,,,,,,,,,
3,2015-01-06,20220.0,20280.0,19820.0,20100.0,5.625040054321289,2318000.0,,,,,,,,,,,0.005970149253731343,0.008955223880597015,-0.013930348258706468,-0.005934718100890208,1.8385990693117806,,,,,,,,,,
4,2015-01-07,20000.0,20100.0,19840.0,20020.0,5.602651119232178,1208650.0,,,,,,,,,,,-0.000999000999000999,0.003996003996003996,-0.008991008991008992,-0.003980099502487562,-0.4785806729939603,,,,,,,,,,
5,2015-01-08,20320.0,20700.0,20140.0,20440.0,5.720190525054932,1670900.0,20220.0,1391270.0,,,,,,,,,-0.005870841487279843,0.012720156555772993,-0.014677103718199608,0.02097902097902098,0.38245149547015267,0.010880316518298714,0.2009890244165403,,,,,,,,
6,2015-01-09,20620.0,20660.0,20440.0,20460.0,5.7257866859436035,1669800.0,20248.0,1536790.0,,,,,,,,,0.007820136852394917,0.009775171065493646,-0.0009775171065493646,0.0009784735812133072,-0.0006583278472679394,0.010470169893322797,0.08655053715862285,,,,,,,,
7,2015-01-12,20460.0,20680.0,20000.0,20500.0,5.7369818687438965,1269300.0,20304.0,1627330.0,,,,,,,,,-0.001951219512195122,0.00878048780487805,-0.024390243902439025,0.0019550342130987292,-0.2398490837226015,0.009653270291568164,-0.22001069236110685,,,,,,,,
8,2015-01-13,20500.0,20640.0,19700.0,20500.0,5.7369818687438965,2589450.0,20384.0,1681620.0,,,,,,,,,0.0,0.006829268292682927,-0.03902439024390244,0.0,1.0400614511935713,0.005690737833594976,0.5398544260891284,,,,,,,,
9,2015-01-14,20500.0,20900.0,20500.0,20560.0,5.753773212432861,2785000.0,20492.0,1996890.0,,,,,,,,,-0.0029182879377431907,0.016536964980544747,-0.0029182879377431907,0.002926829268292683,0.07551796713587827,0.003318368143665821,0.39466870984380714,,,,,,,,
10,2015-01-15,20560.0,20960.0,19980.0,20560.0,5.753773212432861,2190150.0,20516.0,2100740.0,20368.0,1746005.0,,,,,,,0.0,0.019455252918287938,-0.02821011673151751,0.0,-0.21359066427289047,0.0021446675765256387,0.04256119272256443,0.009426551453260016,0.25437785115162903,,,,,,
11,2015-01-16,20560.0,20640.0,20260.0,20400.0,5.708995819091797,893400.0,20504.0,1945460.0,20376.0,1741125.0,,,,,,,0.00784313725490196,0.011764705882352941,-0.006862745098039216,-0.007782101167315175,-0.592082734059311,-0.005072181037846274,-0.5407769884757333,0.001177856301531213,-0.48688348050829205,,,,,,
12,2015-01-19,20400.0,20720.0,20400.0,20620.0,5.770563125610352,424850.0,20528.0,1776570.0,20416.0,1701950.0,,,,,,,-0.01066925315227934,0.004849660523763337,-0.01066925315227934,0.010784313725490196,-0.5244571300649206,0.004481683554169914,-0.7608594088608949,0.009992163009404389,-0.7503745703457798,,,,,,
13,2015-01-20,20620.0,21160.0,20620.0,20760.0,5.809741973876953,1998900.0,20580.0,1658460.0,20482.0,1670040.0,,,,,,,-0.00674373795761079,0.019267822736030827,-0.00674373795761079,0.006789524733268671,3.7049546898905494,0.008746355685131196,0.20527477298216418,0.013572893272141392,0.19691743910325502,,,,,,
14,2015-01-21,20780.0,21580.0,20760.0,21580.0,6.03922176361084,2000100.0,20784.0,1501480.0,20638.0,1749185.0,,,,,,,-0.03707136237256719,0.0,-0.037998146431881374,0.0394990366088632,0.0006003301815998799,0.03829869130100077,0.3320856754668727,0.045643957747843786,0.14344680522643402,,,,,,
